TBCL等級,中文單字,漢語拼音,英文意義,中文例句,英文翻譯例句
1,包子,bāo zi,steamed bun,早餐店的包子很受歡迎。,The steamed buns at the breakfast shop are very popular.
1,酒,jiǔ,alcohol / wine,爸爸不喜歡喝酒。,My dad does not like drinking alcohol.
2,冰塊,bīng kuài,ice cube,請幫我在飲料裡加一些冰塊。,Please add some ice cubes to my drink.
2,冰淇淋,bīng qí lín,ice cream,夏天的時候，小朋友很喜歡吃冰淇淋。,Children love eating ice cream in summer.
3,餅乾,bǐng gān,cookie / biscuit,妹妹一邊看電視一邊吃餅乾。,My younger sister eats cookies while watching TV.
3,草莓,cǎo méi,strawberry,這個蛋糕上面有很多草莓。,There are many strawberries on this cake.
4,茶葉,chá yè,tea leaves,台灣的高山茶葉很有名。,Taiwan’s high mountain tea leaves are very famous.
4,醋,cù,vinegar,有些人吃水餃時喜歡加醋。,Some people like adding vinegar when eating dumplings.
5,地瓜,dì guā,sweet potato,烤地瓜聞起來很香。,Roasted sweet potatoes smell delicious.
5,蜂蜜,fēng mì,honey,她每天早上都會喝蜂蜜水。,She drinks honey water every morning.
