題目,答案
"你在服飾店看到一件衣服，但不知道自己適不適合尺寸，想問店員，你會說：
A. 這件衣服可以洗嗎？
B. 請問有更大的尺寸嗎？
C. 這件衣服在哪裡做的？
D. 這件衣服多少錢？",B
"你想知道商品的價格，你會說：
A. 請問這個多少錢？
B. 可以幫我包起來嗎？
C. 有沒有其他顏色？
D. 可以試穿嗎？",A
"你在商店找不到想買的商品，想請店員幫忙，你會說：
A. 這個可以退貨嗎？
B. 請問洗手間在哪裡？
C. 請問你們有賣這個嗎？
D. 這裡可以刷卡嗎？",C
"你買完東西想請店員幫你包裝，你會說：
A. 請問可以打折嗎？
B. 請問可以幫我包起來嗎？
C. 這個可以換顏色嗎？
D. 這個在哪裡做的？",B
"你想知道商品放在哪個區域，你會說：
A. 請問這個在哪一區？
B. 這個可以退貨嗎？
C. 有沒有比較便宜的？
D. 可以刷卡嗎？",A
"你想試穿衣服，你會說：
A. 這件可以打折嗎？
B. 我可以試穿這件嗎？
C. 這件有沒有現貨？
D. 可以幫我包起來嗎？",B
"你想知道商品有沒有折扣，你會說：
A. 請問這裡可以試用嗎？
B. 這個可以刷卡嗎？
C. 請問這件有打折嗎？
D. 這個可以退貨嗎？",C
"你在結帳時想用信用卡付款，你會說：
A. 可以刷卡嗎？
B. 可以試穿嗎？
C. 可以退貨嗎？
D. 可以幫我找嗎？",A
"你想請店員推薦商品，你會說：
A. 這個在哪裡？
B. 你們最推薦什麼商品？
C. 可以幫我包起來嗎？
D. 這個多少錢？",B
"你買到不適合的商品，想詢問退貨，你會說：
A. 可以幫我找嗎？
B. 可以試穿嗎？
C. 請問可以退貨嗎？
D. 可以打折嗎？",C
