TBCL等級,中文單字,漢語拼音,英文意義,中文例句,英文翻譯例句
1,工作,gōngzuò,work / job,我每天早上九點工作。,I work at 9:00 AM every day.
2,公司,gōngsī,company,這是一家美國的公司。,This is an American company.
2*,辦公室,bàngōngshì,office,我們辦公室很大，工作起來很舒服。,Our office is large and comfortable to work in.
3*,加班,jiābān,to work overtime,因為想把工作完成，他昨晚加班到十點。,He worked overtime until 10 p.m. last night because he wanted to finish his work.
4,面試,miànshì,interview,我明天要去一家科技公司面試。,I am going to an interview at a tech company tomorrow.
4,薪水,xīnshuǐ,salary,這份工作雖然辛苦，但是薪水很不錯。,"Although this job is hard work, the salary is very good."
4,同事,tóngshì,colleague / coworker,新來的同事非常有禮貌，大家都很喜歡他。,"The new colleague is very polite, and everyone likes him."
4,請假,qǐngjià,to take time off / to ask for leave,因為身體不太舒服，我今天向公司請假在家休息。,A lot of people went sightseeing during the Lunar New Year holiday. 
4*,負責,fùzé,to be responsible for / to be in charge of,王小姐在我們公司主要負責海外市場的活動。,Ms. Wang is mainly responsible for the activities in overseas markets at our company.
5,錄取,lùqǔ,to recruit / to hire / to accept (an applicant),經過三次面試後，他終於被那家知名公司錄取了。,"After three rounds of interviews, he was finally hired by that well-known company."
