大題,聽力文本,題目,選項,答案
1,哥哥買了兩個包子當早餐，本來想全部吃完，但後來留了一個給妹妹。,哥哥最後吃了幾個包子？,"A. 一個
B. 兩個
C. 三個
D. 沒有吃",A
2,爸爸今天晚上要開車，所以聚餐時只點了果汁，沒有喝酒。,爸爸為什麼沒有喝酒？,"A. 因為他不喜歡聚餐
B. 因為他等等要開車
C. 因為餐廳沒有賣酒
D. 因為他已經喝過咖啡了",B
3,天氣很冷，所以妹妹買熱奶茶的時候請店員不要加冰塊。,妹妹為什麼不要冰塊？,"A. 因為她怕飲料太甜
B. 因為她不喜歡奶茶
C. 因為天氣很冷
D. 因為冰塊太貴",C
4,弟弟吃完晚餐後又吃了一大盒冰淇淋，結果半夜肚子痛，被媽媽帶去看醫生。,弟弟後來怎麼了？,"A. 感冒了
B. 肚子痛
C. 找不到醫院
D. 沒有吃晚餐",B
5,姐姐最近在減肥，所以看電影的時候沒有買餅乾，而是買了一瓶水。,姐姐為什麼沒買餅乾？,"A. 因為她忘了帶錢
B. 因為餅乾賣完了
C. 因為她最近在減肥
D. 因為她比較想喝咖啡",C
6,這家甜點店的草莓蛋糕每天只賣五十個，所以很多人一開店就去排隊。,為什麼很多人很早就去排隊？,"A. 因為蛋糕很便宜
B. 因為每天賣的數量不多
C. 因為店裡沒有座位
D. 因為附近不好停車",B
7,奶奶每天早上都會先泡茶，再坐在陽台慢慢看報紙。,奶奶泡茶之後通常會做什麼？,"A. 去市場買菜
B. 開始做晚餐
C. 坐在陽台看報紙
D. 和朋友去運動",C
8,媽媽做沙拉的時候發現家裡沒有醋了，所以請哥哥去超市買一瓶回來。,媽媽為什麼請哥哥去超市？,"A. 因為沒有醋了
B. 因為沙拉太難吃
C. 因為哥哥想喝飲料
D. 因為家裡沒有水果",A
9,冬天的時候，爺爺很喜歡一邊看電視，一邊吃熱熱的烤地瓜。,爺爺吃地瓜的時候通常在做什麼？,"A. 洗衣服
B. 看電視
C. 打電話
D. 看醫生",B
10,妹妹感冒後一直咳嗽，媽媽每天晚上都會泡蜂蜜水給她喝，希望她快點好起來。,媽媽為什麼泡蜂蜜水給妹妹？,"A. 因為妹妹肚子餓
B. 因為妹妹睡不著
C. 因為妹妹感冒咳嗽
D. 因為妹妹不想喝牛奶",C
