題號,聽力文本,題目,選項,答案
1,各位旅客請注意，原定兩點十分飛往東京的班機，因為天氣關係，延後到三點半起飛。,請問這班飛機最後幾點起飛？,"A. 兩點十分
B. 三點
C. 三點半
D. 兩點半
",C
2,去九份的話，坐火車要一個小時，到了火車站以後還要再搭二十分鐘的公車才會到。,從出發地到九份總共需要花多少時間？,"A. 一個小時二十分鐘
B. 一個小時
C. 二十分鐘
D. 一個小時四十分鐘",A
3,這間餐廳的牛肉麵每天限量五十碗，我們今天運氣很好，剛好點到最後兩碗。,這間餐廳今天賣出了幾碗牛肉麵？,"A. 兩碗
B. 四八碗
C. 五十碗
D. 五十二碗",C
4,前往阿里山的小火車，全票是一張四百元。如果你有國際學生證的話，可以半價。」,持有國際學生證的遊客，買一張票要多少錢？,"A. 四百元
B. 兩百元
C. 一百元
D. 免費
",B
5,男：這張地圖借我看一下，我想找市中心那家有名的夜市。女：那家夜市早就搬家了，現在地圖上那個位置變成了一座公園，旁邊有大樓,地圖上原本是夜市的地方，現在是什麼？,"A. 另一家夜市
B. 公園
C. 大樓
D. 火車站
",B
6,各位旅客您好，飯店因配合環保政策，房間內不主動提供牙刷、梳子。若有需要，請到一樓櫃檯詢問。,如果房客需要牙刷，應該怎麼做？,"A. 到一樓櫃檯詢問
B. 去房間的浴室找
C. 自己去外面買
D. 打電話問服務生
",A
7,女：先生，不好意思，這裡是禁止拍照的，請您把相機收起來。男：啊，對不起，我沒注意到門口的告示牌。,這位先生在博物館做了什麼不該做的事？,"A. 沒買票就進去
B. 在裡面吃東西
C. 用相機拍照
D. 弄壞了告示牌
",C
8,去島上觀光，雖然坐船只要半個小時，但是很容易暈船。所以我建議大家搭飛機。,說話者建議大家搭乘什麼交通工具去小島？,"A. 船
B. 火車
C. 巴士
D. 飛機
",D
9,男：請問這條美食街哪一家店最受歡迎？女：飲料店賣最好，但是如果要吃飽的話，大家都喜歡中間那家炒飯。,今天小花很餓，推薦他吃什麼？,"A. 轉角的飲料
B. 義大利麵
C. 麵包
D. 炒飯
",D
10,男：大明，這是我的大學同學李美華。美華，大明是我在台灣旅行時認識的好朋友，他很了解當地美食喔。,,"A. 大明和李美華是大學同學
B. 大明和李美華在台灣認識
C. 大明和李美華是今天才認識
D. 大明是李美華的老闆",C
