題目,
1,"早餐店裡，店員問你：「今天的包子剛出爐，要不要幫你加辣？」如果你只想吃原味包子，你會怎麼回答？
A. 好啊，我最喜歡吃辣包子。
B. 不用了，我想吃原味的就好。
C. 我昨天買了很多包子回家。
D. 這家店的辣醬真的很好吃。
答案：B"
2,"聚餐時，朋友一直請你喝酒，但你明天一早要開會，所以你會怎麼說？
A. 好啊，我今天想喝很多酒。
B. 抱歉，我明天還有事情，不能喝酒。
C. 我朋友很喜歡研究各種酒。
D. 這家店賣的酒好像很有名。
答案：B"
3,"天氣很熱，你買飲料時不希望冰塊太多，因為你不想味道變淡，你會怎麼跟店員說？
A. 可以幫我少放一點冰塊嗎？
B. 我每次喝飲料都會加很多冰塊。
C. 冰塊融化之後，飲料通常會變甜。
D. 我朋友不喜歡飲料裡沒有冰塊。
答案：A"
4,"妹妹感冒剛好，但她還是一直想吃冰淇淋，媽媽擔心她身體不舒服，所以可能會說：
A. 如果太冷就不要吃太多冰淇淋。
B. 這家店的冰淇淋真的很便宜。
C. 我小時候最喜歡巧克力冰淇淋。
D. 冰淇淋放太久很容易融化。
答案：A"
5,"你在圖書館看書時，旁邊的人一直吃餅乾，聲音讓你很難專心，因此你心裡可能會想：
A. 我也想吃一點餅乾。
B. 那個吃餅乾的聲音有點吵。
C. 餅乾通常比蛋糕便宜。
D. 我昨天在超市買了很多餅乾。
答案：B"
6,"甜點店推出新的草莓蛋糕後，每天都很多人排隊，因此店員可能會說：
A. 草莓蛋糕現在非常受歡迎。
B. 很多人不喜歡草莓的味道。
C. 草莓蛋糕通常只在冬天販售。
D. 我昨天不小心把草莓蛋糕打翻了。
答案：A"
7,"外國朋友第一次喝台灣高山茶後覺得味道很特別，你想向他介紹台灣茶葉，你會怎麼說？
A. 台灣很多人不喝茶葉。
B. 台灣的茶葉香氣和別的地方不太一樣。
C. 茶葉放太久可能會變苦。
D. 我家附近最近新開了一間茶葉店。
答案：B"
8,"你吃水餃時覺得味道太淡，所以想加一點醋，這時你可能會說：
A. 我不太喜歡醋的味道。
B. 可以幫我拿一點醋嗎？
C. 醋通常放在冰箱裡保存。
D. 我媽媽做菜的時候很常用醋。
答案：B"
9,"冬天逛夜市時，你聞到烤地瓜的香味，突然很想吃，因此你會對朋友說：
A. 地瓜其實可以做很多料理。
B. 那個烤地瓜聞起來好香。
C. 我昨天晚上才剛吃過地瓜。
D. 很多人喜歡把地瓜加進火鍋裡。
答案：B"
10,"妹妹最近喉嚨不舒服，媽媽泡了一杯蜂蜜水給她喝，你看到後可能會說：
A. 蜂蜜加水之後會比較甜。
B. 很多人覺得蜂蜜對喉嚨比較舒服。
C. 我小時候完全不敢喝蜂蜜水。
D. 超市最近的蜂蜜好像正在打折。
答案：B"
