TBCL 等級,中文單字,漢語拼音,英文意義,中文例句,英文翻譯例句
1,商店,shāngdiàn,store,我去商店買水。,I go to the store to buy water.
1,購物,gòuwù,shopping,我喜歡和朋友去購物。,I like shopping with my friends.
2,超市,chāoshì,supermarket,我媽媽在超市買水果。,My mother buys fruit at the supermarket.
2,衣服,yīfú,clothes,這件衣服很好看。,This shirt looks nice.
3,打折,dǎzhé,on sale / discount,這雙鞋今天打折。,These shoes are on sale today.
3,價格,jiàgé,price,這個包包的價格很高。,The price of this bag is high.
4,試穿,shìchuān,try on,我想試穿這件外套。,I want to try on this jacket.
4,收銀員,shōuyínyuán,cashier,收銀員正在幫客人結帳。,The cashier is helping the customer check out.
5,退貨,tuìhuò,return goods,這件褲子太大了，我想退貨。,"These pants are too big, so I want to return them."
5,信用卡,xìnyòngkǎ,credit card,我爸爸用信用卡付款。,My father pays by credit card.
