TBCL等級,中文單字,漢語拼音,英文意義,中文例句,英文翻譯例句
1,走路,zǒulù,To walk,我們要走路去車站。,We need to walk to the station. 
1,明天,míngtiān,Tomorrow,明天會下雨，我們別去公園。,"It will rain tomorrow, let's not go to the park. "
2,機場,jīchǎng,Airport,從機場到市中心要五十分鐘。,It takes 50 minutes to travel from the airport to downtown. 
2,風景,fēngjǐng,Scenery / Landscape,海邊的風景非常漂亮。,The seaside scenery is beautiful. 
3,城市,chéngshì,City,紐約是個有趣的城市。,New York is an interesting city. 
3,行李,xínglǐ,Luggage,我們只能帶四件行李上飛機。,We can only bring four pieces of luggage to board the plaine. 
4,護照,hùzhào,Passport,因為護照不見的關係，他沒辦法出國。,He is unable to go abroad because he lost his passport. 
4,觀光,guānguāng,Sightseeing / Tourism,年假期間，很多人出國觀光。,A lot of people went sightseeing during the Lunar New Year holiday. 
5,搭乘,dāchéng,To ride / To board,搭乘地鐵既環保又省錢。,Taking a subway is eco-friendly and economical. 
5,景點,jǐngdiǎn,Scenic spot / Attraction,巴黎鐵塔是一個受歡迎的景點。,The Eiffel tower is a popular attraction. 
