題目,答案
"1. 你在咖啡廳點完咖啡，店員問你：「內用還是外帶？」你想帶走喝，會說： 
A. 我有兩百塊。 
B. 我要外帶，謝謝。 
C. 我家就在這附近。 
D. 咖啡廳很漂亮。",B
"2. 你想買東西吃，但老闆正在忙：
A. 比起水，我喜歡喝咖啡。
B. 再見，我下次再來。
C. 請問我可以點餐嗎？
D. 我正在這裡等我的朋友。",C
"3. 你在飯店辦理入住（Check-in），櫃檯人員向你要護照，你會說：
A. 你的護照照片很好看。
B. 這是我的護照，給你。
C. 請問要住在這裡多久？
D. 護照是非常重要的證件。",Ｂ
"4. 你在捷運站發現悠遊卡（IC Card）沒錢了，要去服務台加值（Top-up）： 
A. 請問這張卡片在哪裡買？ 
B. 請問這張卡片可以搭公車嗎？ 
C. 捷運站裡面不可以吃東西。
D. 我想幫這張卡片加五百元。 ",Ｄ
"5.  你在餐廳吃飽了，服務生過來問：「請問餐點還可以嗎？」你想稱讚食物： 
A. 我已經吃得很飽了。 
B. 味道很不錯，我很喜歡。 
C. 服務生的態度非常親切。 
D. 我下次不會去旁邊的店。",B
"6. 你在百貨公司試穿牛仔褲，發現腰圍太緊，想找大一點的尺寸： 
A. 請問這條褲子很大嗎？ 
B. 我覺得我最近好像變瘦了。
C. 請問這件有再大一號的嗎？  
D. 這件衣服摸起來怎麼樣？",C
"7. 你在路邊攔計程車，上車後司機問：「要去哪裡？」你指了地圖上的地點： 
A. 我想去這個地方，謝謝。
B. 這個地方風景很美，我喜歡。 
C. 台灣的計程車司機都很熱情。 
D. 我想坐捷運去台北車站。",Ａ
"8. 你在夜市觀光，想請路人幫你和你朋友拍一張合照： 
A. 這裡的風景真的很適合拍電影。 
B. 拍照的時候請微笑。
C. 您的相機看起來非常專業。 
D. 請問能麻煩您幫我們拍張照嗎？ ",D
"9. 你到了一間餐廳，不知道要點什麼菜，想請服務生推薦，你會說：
A. 請問你們營業到什麼時候？
B. 請問你能不能幫我打包這兩道菜？
C. 請問你們最受歡迎的是什麼餐點？
D. 我想在這裡跟朋友一起吃飯。",C
"10. 在藥局，你想買暈車藥，因為你等一下要搭長途巴士： 
A. 請問要在哪裡搭巴士？ 
B. 我會暈車，請問有推薦的藥嗎？ 
C. 從這裡坐車到過去需要多久。 
D. 我非常期待這趟旅程。",Ｂ
