題號,聽力文本,題目,選項,答案
1,小明，幫我把這些文件拿去三樓的總務處影印，印好之後送去會議室給王經理。,小明要在哪裡影印文件？,"(A) 會議室
(B) 一樓大廳
(C) 三樓總務處
(D) 經理辦公室",C
2,王助理，請把桌上的發票拿去會計部，然後幫我拿一盒新的原子筆回來。,王助理現在首先要去哪裡？,"(A)經理辦公室
(B)總務處
(C)會計部
(D)會議室",C
3,我們原本預計早上十點開會，但是陳經理臨時有事，所以改到下午兩點了。,他們最後決定幾點開會？,"(A)下午四點
(B)下午兩點
(C)中午十二點
(D)早上十點",B
4,我每天的工作是在餐廳幫客人點餐、送菜。雖然一直站著很累，但看到客人的笑容就很開心。,說話的人職業是什麼？,"(A)司機
(B)服務生
(C)老闆
(D)廚師",B
5,各位同仁，這位是新來的行銷專員林小姐。她以前在別家公司做過兩年行銷，請大家多多照顧。,林小姐今天來公司做什麼？,"(A)開會討論
(B)推銷別家公司的產品
(C)第一天上班
(D)找經理面試",C
9,王小姐您好，這裡是幸福花店。您上禮拜為公司活動訂的二十盆黃色玫瑰花，我們已經準備好了，明天早上九點會送到你們公司一樓大廳，請記得來簽收，謝謝。,花店明天會把花送到哪裡？,"(A) 花店大門口
(B) 公司一樓大廳
(C) 王小姐的家
(D) 會議室裡面",B
8,"男：這台影印機怎麼又卡紙了？我下午要交給客戶的資料還有五十頁沒印完。
女：別急，四樓的影印機現在沒人用，你拿隨身碟去那邊印吧。
男：好，那我先去請總務幫忙修這台，再去四樓。",男子接下來第一個動作要做什麼？,"(A) 去四樓印資料
(B) 請總務修影印機
(C) 把資料放進隨身碟
(D) 打電話給客戶",B
10,"男：陳秘書，下週去高鐵站接臺北客戶的時間是星期三下午兩點對吧？
女：本來是兩點，但客戶剛剛來信說高鐵改班次，會遲到半個小時。
男：知道了，那我兩點半再出發。",男生最後決定幾點出發去接客戶？,"(A) 下午兩點
(B) 下午兩點半
(C) 下午三點
(D) 下午三點半",B
2,"男：這次的新產品發表會，活動企劃書寫得怎麼樣了？
女：差不多完成了，不過預算部分超出了兩萬塊，我正想找經理討論看看能不能調整。
男：那你快去吧，經理下午四點要出差，你最好現在就去他辦公室。",關於這場活動企劃，下列哪一個敘述是正確的？,"(A) 企劃書目前還完全沒有開始寫
(B) 活動預算比原本預期的還要少
(C) 女生現在準備去找經理談預算
(D) 經理下午四點會幫忙調整預算",Ｃ
3,"女：聽說你下個月要跳槽到那家外商公司了？真的假的？
男：對啊，那邊開出的薪水比較高，福利也比較好。雖然可能常常需要跟國外客戶開會、加班，但我覺得是個很有挑戰性的機會。
女：那先祝你步步高升啦！到時候別忘了請客！",男子為什麼決定換工作？,"(A) 因為現在的公司要求他天天加班
(B) 因為新公司提供更好的待遇與發展機會
(C) 因為他不想再跟國外的客戶開會溝通
(D) 因為現在的同事不打算請他吃飯",Ｂ
