題目,答案
"1.第一天上班，新來的同事主動走過來跟你打招呼說：「你好，我是新來的助理，請多指教。」你應該怎麼回應最合適？
(A) 沒關係，慢慢來。
(B) 你好！歡迎你加入我們公司。
(C) 我不知道他是誰。
(D) 請幫我買一杯咖啡。",B
"2. 你在辦公室準備印資料，但不會使用這台新型的影印機，想請身邊的同事幫忙，你該怎麼說？
(A) 喂！快來幫我印這個。
(B) 請問你現在方便教我怎麼用這台影印機嗎？
(C) 這個影印機壞了，你趕快來修。
(D) 你有看到我的文件嗎？",B
"3. 團隊在討論下半年的活動企劃時，你不同意同事小張的提案，因為你認為那個方案的預算太高了。你該怎麼表達看法才不會破壞職場和諧？
(A) 小張，你的想法太不切實際了，根本是在浪費公司的錢。
(B) 大家都覺得這個不好，你還是放棄這個想法吧。
(C) 我沒意見，你們大家決定就好，反正到時候出問題別找我。
(D) 小張的提議很有創意，不過考慮到我們目前的預算限制，可能需要再調整一下。",D
"4. 你今天早上起床覺得身體很不舒服、發燒了，想跟主管請假一天去看醫生。你該怎麼傳訊息給主管說明？
(A) 我今天不想去上班，再見。
(B) 主管不好意思，我今天發燒、身體不舒服，想請一天病假去醫院看醫生，謝謝。
(C) 我生病了，你今天幫我做我的工作。
(D) 為什麼今天天氣這麼冷？我不要去辦公室了。",B
"5.  客戶來到公司，已經在會議室坐下了。你身為接待人員，想禮貌地詢問對方想喝點什麼，該怎麼說？
(A) 請問您想喝茶還是咖啡？
(B) 你肚子餓不餓？我們辦公室有泡麵。
(C) 我們公司只有開水，你喝水吧。
(D) 經理等一下才來，你先滑手機吧。",A
"6. 原定下午三點要開的部門例會，因為主管臨時被總經理找去開會，必須延後到四點。你想在工作群組通知其他同仁，該怎麼說？
(A) 主管被總經理罵了，所以下午不開會了。
(B) 今天的會議取消了，大家可以提早下班。
(C) 各位同仁不好意思，因主管臨時有緊急會議，原訂三點的例會改至四點舉行，謝謝。
(D) 更改時間了，你們四點自己來會議室。",C
"7. 星期五下班前，同事們熱情地邀請你一起去吃熱炒、喝啤酒，但你當天晚上已經跟家人約好要聚餐慶生。你該如何婉拒？
(A) 謝謝你們的邀請！不過今晚剛好家人過生日，我得回家聚餐，這次就先不去了，祝你們玩得開心！
(B) 我不想去，吃熱炒太吵了，而且喝啤酒會胖。
(C) 你們每次都找我，我今天真的沒空，不要再問了。
(D) 如果你們幫我付錢的話，我就考慮去一下。",Ａ
"8. 主管在下班前給了你一份新產品的資料，對你說：「這個你先看一下。」你不太確定主管的意思是要你「現在加班看完」，還是「明天上班再看」。你應該怎麼詢問？
(A) 主管，這份資料需要今天下班前看完，還是明天早上再看呢？
(B) 主管，你現在給我這個，是不是不想讓我準時下班？
(C) 主管，這份新產品資料的內容很有趣，謝謝你分享給我。
(D) 主管，我今天晚上有事，我現在要準備打卡下班了。",A
"9. 你下禮拜因為家裡有私事，必須請假兩天。你在向主管遞出請假申請時，除了說請假原因，還需要同時說明什麼，主管最容易批准？
(A) 說明因為最近工作壓力太大，想趁這兩天好好在家睡覺休息。
(B) 說明如果主管不准假的話，你可能會考慮用離職的方式處理。
(C) 說明這兩天我負責的日常工作，已經請同事小王當我的職務代理人，緊急事件可以聯絡他。
(D) 說明反正下禮拜全公司都很閒，就算我請假兩天，也不會影響任何進度。",C
"10. 隔壁部門的同仁跑來找你，很著急地說：「我們部門的簡報卡住了，你英文最好，能不能現在幫我把這篇 5000 字的商務合約翻成英文？我一小時後要！」但你對法律專有名詞並不熟悉，而且手上有自己的事。你該怎麼採取合適的行動策略？
(A) 答應他，然後立刻放下自己手邊的工作，用翻譯軟體隨便幫他翻完。
(B) 告訴他這不是我的工作，請他自己花錢去外面找專業的翻譯公司。
(C) 說明這涉及法律合約，需要高度專業，建議他請示主管找法務或專業翻譯協助，避免出錯。
(D) 先答應下來，但兩個小時後再告訴他你沒時間做，把資料還給他。",C
