題號,聰力文本,題目,選項,答案
1,"女：請問這個多少錢？
男：一件五百元。",女生想知道什麼？,"A. 商品的顏色
B. 商品的價格
C. 商品的尺寸
D. 商品在哪裡",B
2,"女：我可以試穿這件外套嗎？
男：可以，試衣間在那邊。",女生想做什麼？,"A. 退貨
B. 打折
C. 試穿衣服
D. 包裝商品",C
3,"男：請問你們有黑色的鞋子嗎？
女：有，在右邊那一區。",男生在找什麼？,"A. 帽子
B. 衣服
C. 褲子
D. 鞋子",D
4,"女：這件衣服有打折嗎？
男：有，今天八折。",女生想知道什麼？,"A. 能不能退貨
B. 有沒有折扣
C. 有沒有大尺寸
D. 可不可以刷卡",B
5,"男：請幫我包起來。
女：好的，請稍等",男生想要什麼？,"A. 試穿商品
B. 更換商品
C. 包裝商品
D. 查價格",C
6,"女：不好意思，這件衣服太小了，可以換大一點的嗎？
男：可以，我幫你找。",女生有什麼問題？,"A. 衣服太貴
B. 衣服太小
C. 衣服太舊
D. 衣服太長",B
7,"男：請問這裡可以刷卡嗎？
女：可以，也可以用手機付款。",男生想知道什麼？,"A. 可不可以退貨
B. 可不可以試穿
C. 可不可以刷卡
D. 可不可以打折",C
8,"女：你們最近賣得最好的商品是什麼？
男：很多客人都買這款背包。",女生想知道什麼？,"A. 哪個商品最便宜
B. 哪個商品最受歡迎
C. 哪個商品最大
D. 哪個商品可以退貨",B
9,"男：這個昨天買的，可是壞掉了。
女：你有發票嗎？我們可以幫你換新的。",男生想做什麼？,"A. 試穿商品
B. 包裝商品
C. 更換商品
D. 查詢價格",C
10,"女：我想買生日禮物送朋友，你有推薦的嗎？
男：如果是送女生，這條項鍊很受歡迎。",女生來商店做什麼？,"A. 買生日禮物
B. 修理商品
C. 退貨
D. 找試衣間",A
